"","cia_ano","ano","cd_cvm","ativo_total","ativo_circulante","ativo_nao_circulante","passivo_total","passivo_circulante","passivo_nao_circulante","patrimonio_liquido","receitas","resultado_operacional","lucro_liquido","fc_operacional","fc_investimento","fc_financiamento","fc_diferenca","liquidez_geral","liquidez_corrente","prop_capitalterceiros","endividamento_geral","margem_operacional","margem_liquida","roe","fluxocaixa_livre"
"37","017442_2010",2010-12-31,"017442",17401668,7343052,23382961,17401668,4441434,10702905,3900559,6868962,1098936,228662,NA,NA,NA,NA,2.02887778727087,1.6533065672033,0.795191394566671,0.492883310307784,0.159985744571014,0.0332891636320015,0.0586228794385625,NA
"38","018660_2010",2010-12-31,"018660",20056805,5461083,29755951,20056805,4428324,9170091,6749656,12023729,5124687,1560037,NA,NA,NA,NA,2.58978961886367,1.23321667520263,0.668290129319875,0.386131750902134,0.426214446450016,0.129746520401449,0.231128371579233,NA
"39","017329_2010",2010-12-31,"017329",12850288,2989313,21424878,12850288,2259838,5672048,5072684,4100381,3871462,1211649,NA,NA,NA,NA,3.07798057107729,1.32279968741122,0.609930662836218,0.324888340555704,0.944171285546392,0.295496686771302,0.238857575200821,NA
"40","017930_2010",2010-12-31,"017930",1844675,419155,2786489,1844675,270147,1566031,107996,708168,141449,85963,NA,NA,NA,NA,1.74582420658564,1.55158117617445,0.944451473993583,0.572795357188758,0.199739327391241,0.121387862767027,0.795983184562391,NA
"41","022551_2010",2010-12-31,"022551",1340720,790518,1514305,1340720,201715,603036,548707,512174,95118,14417,NA,NA,NA,NA,2.86402005092258,3.91898470614481,0.594588823591127,0.349159566699916,0.185714229929672,0.0281486369866491,0.0262744962247611,NA
"42","017710_2010",2010-12-31,"017710",21843778,8949172,27811729,21843778,6883559,5350479,10140252,18105885,5767776,1893833,NA,NA,NA,NA,3.00480520004924,1.30007921774187,0.5467899986994,0.332800276032407,0.318558082082152,0.104597648775522,0.186763898964247,NA
"43","017639_2010",2010-12-31,"017639",19370852,8802152,25095412,19370852,5691089,3892914,10300809,14457450,2154811,2211715,NA,NA,NA,NA,3.53688996132409,1.54665513050314,0.481976042821023,0.282734269636603,0.149045025229207,0.152980989040253,0.214712747319167,NA
"44","017647_2010",2010-12-31,"017647",20565877,3048471,34358438,20565877,3740210,6607430,10690708,11231037,2503338,765035,NA,NA,NA,NA,3.6150184003309,0.815053432828638,0.491846603164849,0.276623764877232,0.22289464454618,0.0681179306950908,0.0715607422819892,NA
"45","017655_2010",2010-12-31,"017655",75137383,31224685,100739657,75137383,19315668,43294838,19973557,29479382,5763010,1749496,NA,NA,NA,NA,2.10770285101992,1.61654699179961,0.758142718165852,0.474450181398245,0.195492904159253,0.0593464272758499,0.0875906079222644,NA
"46","017604_2010",2010-12-31,"017604",16730896,9288306,19331074,16730896,3517552,2992762,10419543,8554542,4972743,1827281,NA,NA,NA,NA,4.39600609125766,2.64055968468981,0.38454630774495,0.227479211639106,0.581298566305478,0.213603603793166,0.175370551280416,NA
"47","017671_2010",2010-12-31,"017671",19966294,6704164,27354532,19966294,5719846,3704403,11667114,15756144,6972716,2398836,NA,NA,NA,NA,3.61394271310107,1.1720881995774,0.446829775771248,0.276706101725092,0.442539494434679,0.152247656533223,0.205606630740044,NA
"48","017922_2010",2010-12-31,"017922",2111777,1237150,1632973,2111777,1040168,360157,711452,77534,172328,117020,NA,NA,NA,NA,2.04961205434453,1.18937517785588,0.663102685558182,0.487897208586531,2.2226120153739,1.50927335104599,0.164480527147299,NA
"49","017914_2010",2010-12-31,"017914",4048573,4308003,3181174,4048573,1003946,614319,2431149,724975,225338,39684,NA,NA,NA,NA,4.62790519476106,4.29107043605931,0.399629427862896,0.216080485212194,0.310821752474223,0.0547384392565261,0.0163231459692516,NA
"50","017892_2010",2010-12-31,"017892",2022777,226172,3586605,2022777,332321,564117,1213709,865533,416105,111229,NA,NA,NA,NA,4.25325231638998,0.680582930359502,0.424822536060284,0.235114196293148,0.480750011842414,0.128509253835498,0.0916438783925966,NA
"51","017973_2010",2010-12-31,"017973",1094786,227090,1726497,1094786,133768,175283,816176,599681,-58542,-29623,NA,NA,NA,NA,6.32124471365568,1.69764069134621,0.274656580405554,0.158196691521801,-0.0976219023113956,-0.0493979298993965,-0.0362948677736175,NA
"52","018112_2010",2010-12-31,"018112",42678300,18820287,59505147,42678300,10554856,8197671,24564842,25233310,19726777,7619243,NA,NA,NA,NA,4.17679355960933,1.78309273001924,0.432910110491706,0.23941810523514,0.781775240743287,0.301951785160171,0.310168614151884,NA
"53","018821_2010",2010-12-31,"018821",12767531,1755167,20636542,12767531,3041673,7615289,3140390,4657256,2774566,677508,NA,NA,NA,NA,2.10113435705223,0.577040003971499,0.77239183286764,0.475933391238695,0.595751232055957,0.145473643707797,0.215740083238069,NA
"54","022454_2010",2010-12-31,"022454",521803,379493,523129,521803,219461,211550,133318,569179,158363,40263,NA,NA,NA,NA,2.09419713185974,1.72920473341505,0.763758374990475,0.477509965411878,0.278230574213033,0.0707387306980757,0.302007230831546,NA
"55","018902_2010",2010-12-31,"018902",37925581,26103579,40113036,37925581,4519662,28584567,7854723,14450510,8072701,2603240,NA,NA,NA,NA,2.00024640356373,5.77555998656537,0.808229395127102,0.499938406697473,0.558644712193549,0.180148659113069,0.331423526965878,NA
"56","020575_2010",2010-12-31,"020575",44529225,16606126,59876641,44529225,9685082,16471721,18694849,55055802,2352782,-264000,NA,NA,NA,NA,2.92401051458773,1.71460871472229,0.583184828955687,0.341996034217747,0.0427344969018887,-0.00479513494327083,-0.0141215369003515,NA
"57","019771_2010",2010-12-31,"019771",4821477,2555966,6949572,4821477,1637298,2335251,1086781,2184529,1087600,304249,NA,NA,NA,NA,2.39280572750644,1.56108784106497,0.785192703381673,0.417919427601047,0.49786475711698,0.139274415674958,0.279954287018268,NA
"58","021431_2010",2010-12-31,"021431",9987182,6897011,10927914,9987182,1748553,3212991,5059091,3159728,1040682,261901,NA,NA,NA,NA,3.59261653227302,3.94441060694185,0.495132693686578,0.278348660653551,0.329358096646294,0.0828871978853876,0.0517683908038025,NA
"59","020478_2010",2010-12-31,"020478",15386410,12068735,6168582,15386410,4197388,5272819,5964848,5229815,1753750,789552,NA,NA,NA,NA,1.92575695547098,2.87529649391479,0.613551879147823,0.519276327762466,0.335336909622998,0.150971305868372,0.132367497042674,NA
"60","018716_2010",2010-12-31,"018716",388279,141447,616417,388279,32161,71040,286838,105012,65591,27261,NA,NA,NA,NA,7.34357225220686,4.39809085538385,0.264591489568992,0.136173508703409,0.624604807069668,0.259598902982516,0.0950397088251905,NA
"61","018350_2010",2010-12-31,"018350",4210730,795985,7206894,4210730,548095,1813755,1981004,1754323,2246644,737339,NA,NA,NA,NA,3.38839426720579,1.45227560915535,0.543847433047484,0.295125041875555,1.28063304191987,0.420298314506508,0.372204700242907,NA
"62","018376_2010",2010-12-31,"018376",6931418,1597373,5436216,6931418,814049,1737884,4563835,2256286,1936197,812171,NA,NA,NA,NA,2.75618090286853,1.96225657177885,0.35863071983235,0.362820887032211,0.858134562728307,0.359959242755573,0.17795801119015,NA
"63","019330_2010",2010-12-31,"019330",3015614,226863,5041629,3015614,305277,1333859,1407515,545873,166514,30672,NA,NA,NA,NA,3.21418845050075,0.743138199078214,0.538012394593276,0.311120525569746,0.3050416488817,0.0561888937536753,0.0217915972476315,NA
"64","020010_2010",2010-12-31,"020010",3276531,1648612,4238564,3276531,666585,1495883,1270917,1798884,752617,286098,NA,NA,NA,NA,2.72243381173733,2.47322096956877,0.629835570435591,0.367318388307059,0.418379951125253,0.159041939335721,0.225111474628162,NA
"65","019879_2010",2010-12-31,"019879",9594924,2892277,13387394,9594924,2186753,4629924,3330144,6508584,2164632,575150,NA,NA,NA,NA,2.38821217434829,1.32263543253399,0.671804203503738,0.418723265353458,0.332581095980324,0.0883679153560897,0.172710249166402,NA
"66","019216_2010",2010-12-31,"019216",478224,109952,645131,478224,127178,74501,287458,401671,54052,36244,NA,NA,NA,NA,3.74398425220276,0.864552045165044,0.412315976914443,0.267095140534219,0.13456784283655,0.0902330514276609,0.126084506258306,NA
"67","021415_2010",2010-12-31,"021415",65806,42465,55836,65806,13355,7604,45027,36801,23752,11268,NA,NA,NA,NA,4.69015697313803,3.17970797454137,0.317627981693086,0.213212480035808,0.645417244096628,0.306187331865982,0.250249850089946,NA
"68","019860_2010",2010-12-31,"019860",403006,368201,390202,403006,359957,9145,33904,32717,25298,10037,NA,NA,NA,NA,2.0547247102427,1.02290273560453,0.915872220264711,0.486683201411387,0.773237154995874,0.306782406699881,0.296041764983483,NA
"69","019437_2010",2010-12-31,"019437",6162468,832686,10714803,6162468,933497,3577158,1772441,1201298,1775752,666678,NA,NA,NA,NA,2.56004704416543,0.892007151603058,0.717903243878496,0.390617821761943,1.47819441970269,0.554964713168589,0.376135510293432,NA
"70","018651_2010",2010-12-31,"018651",1227215,203599,2052121,1227215,103856,530027,629924,122504,-234887,-222742,NA,NA,NA,NA,3.55857468965093,1.96039708827607,0.501566299284622,0.28101138439168,-1.91738228955789,-1.81824266962711,-0.353601386833967,NA
"71","018775_2010",2010-12-31,"018775",3868951,204495,7373753,3868951,640664,2270089,1387217,1227997,181656,-10594,NA,NA,NA,NA,2.60353523641477,0.319192275514154,0.677239022143012,0.384093130760566,0.147928700151548,-0.00862705690649081,-0.00763687296219697,NA
"72","018724_2010",2010-12-31,"018724",14281252,5321295,19347663,14281252,2490189,5343808,7022412,4831326,4667820,1780240,NA,NA,NA,NA,3.14896189007987,2.13690406631786,0.527314305899898,0.317564973761762,0.966157117114432,0.368478550195122,0.253508338730339,NA
"73","020788_2010",2010-12-31,"020788",22599586,10138287,28390633,22599586,6948559,11865972,4008741,15878469,604242,140092,NA,NA,NA,NA,2.04782781989091,1.45904884739411,0.824357305122596,0.488322304388496,0.0380541726031647,0.00882276496556438,0.0349466328705197,NA
"74","018953_2010",2010-12-31,"018953",7260394,737000,13314615,7260394,1004447,4187911,2088394,1083253,937705,245513,NA,NA,NA,NA,2.70621074278777,0.733737071244177,0.713162321694243,0.369520371857612,0.865638036543633,0.226644191153867,0.117560671022805,NA
"75","019763_2010",2010-12-31,"019763",12810115,4001126,19081688,12810115,2525410,4260359,6455121,5034316,2148423,736641,NA,NA,NA,NA,3.4016504245871,1.58434709611509,0.512485867641828,0.293974946035609,0.426755690346017,0.146323949469998,0.114117303145828,NA
"76","019089_2010",2010-12-31,"019089",41317707,11731335,59957174,41317707,6522802,17079560,22665518,10263292,-1320952,-127343,NA,NA,NA,NA,3.03734469456913,1.79851159057105,0.510124129309577,0.329234940567672,-0.128706461825309,-0.0124076173609793,-0.00561835824797827,NA
"77","019062_2010",2010-12-31,"019062",7258465,1003801,12691870,7258465,1082968,4557887,1701861,1208103,1331745,424999,NA,NA,NA,NA,2.42794239525746,0.926898117026542,0.768224591554406,0.411871386221237,1.10234392266222,0.351790368867555,0.24972603520499,NA
"78","019100_2010",2010-12-31,"019100",1378557,989876,1364780,1378557,504476,541376,420971,2397996,352610,109053,NA,NA,NA,NA,2.25142371960851,1.96218650639475,0.713004909249446,0.444163393718658,0.147043614751651,0.0454767230637582,0.259051098531728,NA
"79","018970_2010",2010-12-31,"018970",18215134,4523964,28561440,18215134,3000385,8645004,7435024,10016982,5549497,1787147,NA,NA,NA,NA,2.84107332095132,1.50779449970587,0.610332124362298,0.35197965241712,0.55400888211639,0.178411721215033,0.240368692824663,NA
"80","019453_2010",2010-12-31,"019453",4165776,1949534,6163272,4165776,1112971,1474500,1787867,1427608,1739430,594039,NA,NA,NA,NA,3.13541910228173,1.75164851554982,0.591376254817342,0.318936629324059,1.21842270427176,0.416107923183395,0.332261292366826,NA
"81","018961_2010",2010-12-31,"018961",2929216,1288990,4187984,2929216,228917,747963,2004760,1003839,264930,121622,NA,NA,NA,NA,5.6065985586766,5.63081815679919,0.32763177311815,0.178361262989381,0.263916823315293,0.121156878742508,0.0606666134599653,NA
"82","021237_2010",2010-12-31,"021237",6279555,1965950,8708567,6279555,1395697,3185834,1701563,98455,-581529,-255614,NA,NA,NA,NA,2.32990172935641,1.40857936930437,0.729183902071177,0.429202651511071,-5.90654613782946,-2.59625209486567,-0.150223059622241,NA
"83","021555_2010",2010-12-31,"021555",914188,176885,1432013,914188,598806,45322,288867,769861,-132186,-126147,NA,NA,NA,NA,2.49779236425058,0.295396171715046,0.690387408292649,0.400353533909546,-0.171701125268068,-0.16385685208109,-0.436695780411054,NA
"84","019305_2010",2010-12-31,"019305",4907,1361,7340,4907,2859,6109,NA,877,-8515,-4273,NA,NA,NA,NA,0.970227475468332,0.476040573627142,NA,1.03068612803126,-9.70923603192702,-4.87229190421893,NA,NA
"85","020613_2010",2010-12-31,"020613",888811,786695,646755,888811,314192,276473,315505,783472,154226,70817,NA,NA,NA,NA,2.42684093352408,2.50386706217854,0.651825816347926,0.412058320834351,0.196849408785509,0.0903886801315171,0.224456030807753,NA
"86","023221_2010",2010-12-31,"023221",211031,30009,359455,211031,24767,70455,115830,141296,81631,35719,NA,NA,NA,NA,4.0900632206843,1.211652602253,0.451177908761822,0.244494998254011,0.577730438228966,0.252795549767863,0.308374341707675,NA
"87","019402_2010",2010-12-31,"019402",1,0,2,1,24497,146897,NA,1,2,1,1,0,0,1,1.1669019919017e-05,0,NA,85697,2,1,NA,1
"88","021717_2010",2010-12-31,"021717",69751,68610,48087,69751,51761,0,17990,205820,322471,139020,NA,NA,NA,NA,2.25453526786577,1.32551534939433,0.742082550787802,0.443550391184006,1.56676221941502,0.675444563210572,7.72762645914397,NA
"89","080004_2010",2010-12-31,"080004",288928000,56268000,471125000,288928000,74566000,158382000,70540000,146542000,67794000,22424000,37118000,-35313000,-11685000,-13464000,2.26399453955389,0.754606657189604,0.767569063686208,0.441697178384999,0.462625049473871,0.153020976921292,0.317890558548341,1805000
"90","080047_2010",2010-12-31,"080047",1564177,763967,2095029,1564177,252368,557431,774854,958982,333093,117475,NA,NA,NA,NA,3.53050077858827,3.0271944145058,0.511026073216029,0.283245936685466,0.347340200337441,0.12249969238213,0.151609206379524,NA
"91","020354_2010",2010-12-31,"020354",1321802,567181,1643091,1321802,316837,337329,686466,394792,-43580,-22910,NA,NA,NA,NA,3.37876318854847,1.79013499054719,0.487953442853818,0.295966288312027,-0.1103872418894,-0.0580305578633812,-0.0333738306048661,NA
"92","022357_2010",2010-12-31,"022357",2335219,160600,4455625,2335219,141631,533124,1671797,185009,559496,212760,NA,NA,NA,NA,6.84133500307519,1.13393254301671,0.287551692866811,0.146170301490937,3.02415558162035,1.14999810820014,0.127264255169737,NA
"93","021300_2010",2010-12-31,"021300",2175573,372525,3574944,2175573,118801,829221,1238537,191126,178411,56132,NA,NA,NA,NA,4.16390020484757,3.13570592840128,0.433567994277767,0.240159454070444,0.933473206157195,0.293691072904785,0.0453212136577268,NA
"94","019569_2010",2010-12-31,"019569",9063847,4660710,11927291,9063847,1659864,4619692,2929169,6979447,1084291,214197,NA,NA,NA,NA,2.64158819508895,2.80788667023322,0.681913728556342,0.378560141152632,0.155354858343362,0.0306896807153919,0.0731255178516501,NA
"95","019917_2010",2010-12-31,"019917",572175,419157,455538,572175,225740,134636,295160,944334,97998,28565,NA,NA,NA,NA,2.4271732856794,1.85681314786923,0.549742500793244,0.412001897804378,0.10377472377358,0.0302488314515839,0.0967780187017211,NA
"96","019909_2010",2010-12-31,"019909",10569767,534837,20040969,10569767,505359,4385540,5789398,546437,1842655,634272,NA,NA,NA,NA,4.20695786193908,1.05833081037441,0.457936609815251,0.237701453833692,3.37212707045826,1.16074131144121,0.109557504942656,NA
"97","019925_2010",2010-12-31,"019925",5105236,542658,9589975,5105236,420402,1980864,2709470,204464,2340670,813368,NA,NA,NA,NA,4.21970452253103,1.29080737008863,0.469847395756697,0.236983417834239,11.4478343375851,3.97804992565928,0.300194502983978,NA
"98","020320_2010",2010-12-31,"020320",14665324,5033727,19799391,14665324,1590970,8030719,5050645,3914669,3445691,1084110,NA,NA,NA,NA,2.58095205529923,3.16393583788506,0.655770854180391,0.387453923425967,0.880199832987157,0.276935291336253,0.214647832108572,NA
"99","020338_2010",2010-12-31,"020338",2361609,734769,3243484,2361609,287251,361524,1760517,2444000,809619,351641,NA,NA,NA,NA,6.13194558976533,2.55793365384281,0.269280352900354,0.163080377240965,0.331268003273322,0.143879296235679,0.199737349880745,NA
