"cia_ano","ano","cd_cvm","ativo_total","ativo_circulante","ativo_nao_circulante","passivo_total","passivo_circulante","passivo_nao_circulante","patrimonio_liquido","receitas","resultado_operacional","lucro_liquido","fc_operacional","fc_investimento","fc_financiamento","fc_diferenca","liquidez_geral","liquidez_corrente","prop_capitalterceiros","endividamento_geral","margem_operacional","margem_liquida","roe","fluxocaixa_livre"
"016950_2010","2010-12-31","016950",512447,50921,928754,512447,39923,327004,216355,141448,45192,11686,NULL,NULL,NULL,NULL,"2.669945247964854","1.2754802995766852","0.6290730727161133","0.37453951565570215","0.31949550364798374","0.082616933431367","0.05401308035404775",NULL
"020800_2010","2010-12-31","020800",600948,288323,684879,600948,142004,42511,419902,1167171,327148,112302,NULL,NULL,NULL,NULL,"5.274378776793214","2.0303864679868173","0.3052776477167254","0.18959578792480902","0.2802914054581548","0.09621726379425123","0.26744811884677855",NULL
"018414_2010","2010-12-31","018414",528778,408160,311073,528778,314696,91018,132899,1075999,-34130,-35468,NULL,NULL,NULL,NULL,"1.7727586427877766","1.2969977374990467","0.7532569767161208","0.5640925819588367","-0.03171936033397801","-0.03296285591343486","-0.2668793595136156",NULL
"017450_2010","2010-12-31","017450",12519836,4677973,18828353,12519836,1703703,7191461,3827976,2753531,1230473,239879,NULL,NULL,NULL,NULL,"2.6425961342590196","2.745767894991087","0.6991327612523324","0.3784157507217419","0.44687094497937374","0.08711686921265822","0.06266470845167263",NULL
"017442_2010","2010-12-31","017442",17401668,7343052,23382961,17401668,4441434,10702905,3900559,6868962,1098936,228662,NULL,NULL,NULL,NULL,"2.028877787270874","1.6533065672032952","0.7951913945666709","0.4928833103077838","0.15998574457101378","0.033289163632001455","0.05862287943856252",NULL
"018660_2010","2010-12-31","018660",20056805,5461083,29755951,20056805,4428324,9170091,6749656,12023729,5124687,1560037,NULL,NULL,NULL,NULL,"2.589789618863669","1.2332166752026275","0.6682901293198751","0.3861317509021345","0.4262144464500156","0.1297465204014495","0.23112837157923308",NULL
"017329_2010","2010-12-31","017329",12850288,2989313,21424878,12850288,2259838,5672048,5072684,4100381,3871462,1211649,NULL,NULL,NULL,NULL,"3.077980571077295","1.3227996874112216","0.6099306628362183","0.32488834055570387","0.944171285546392","0.2954966867713025","0.2388575752008207",NULL
"017930_2010","2010-12-31","017930",1844675,419155,2786489,1844675,270147,1566031,107996,708168,141449,85963,NULL,NULL,NULL,NULL,"1.745824206585636","1.5515811761744531","0.9444514739935829","0.5727953571887583","0.1997393273912405","0.12138786276702704","0.7959831845623913",NULL
"022551_2010","2010-12-31","022551",1340720,790518,1514305,1340720,201715,603036,548707,512174,95118,14417,NULL,NULL,NULL,NULL,"2.8640200509225835","3.9189847061448084","0.5945888235911273","0.34915956669991577","0.18571422992967235","0.02814863698664907","0.02627449622476112",NULL
"017710_2010","2010-12-31","017710",21843778,8949172,27811729,21843778,6883559,5350479,10140252,18105885,5767776,1893833,NULL,NULL,NULL,NULL,"3.0048052000492396","1.3000792177418687","0.5467899986994","0.33280027603240736","0.31855808208215175","0.10459764877552244","0.18676389896424664",NULL
"017639_2010","2010-12-31","017639",19370852,8802152,25095412,19370852,5691089,3892914,10300809,14457450,2154811,2211715,NULL,NULL,NULL,NULL,"3.536889961324094","1.5466551305031426","0.4819760428210234","0.2827342696366028","0.1490450252292071","0.1529809890402526","0.21471274731916687",NULL
"017647_2010","2010-12-31","017647",20565877,3048471,34358438,20565877,3740210,6607430,10690708,11231037,2503338,765035,NULL,NULL,NULL,NULL,"3.6150184003308965","0.815053432828638","0.49184660316484924","0.2766237648772316","0.22289464454618038","0.06811793069509076","0.07156074228198918",NULL
"017655_2010","2010-12-31","017655",75137383,31224685,100739657,75137383,19315668,43294838,19973557,29479382,5763010,1749496,NULL,NULL,NULL,NULL,"2.107702851019923","1.6165469917996105","0.7581427181658524","0.4744501813982447","0.19549290415925272","0.05934642727584995","0.08759060792226442",NULL
"017604_2010","2010-12-31","017604",16730896,9288306,19331074,16730896,3517552,2992762,10419543,8554542,4972743,1827281,NULL,NULL,NULL,NULL,"4.396006091257656","2.640559684689807","0.38454630774495024","0.2274792116391061","0.5812985663054784","0.21360360379316626","0.17537055128041604",NULL
"017671_2010","2010-12-31","017671",19966294,6704164,27354532,19966294,5719846,3704403,11667114,15756144,6972716,2398836,NULL,NULL,NULL,NULL,"3.613942713101065","1.1720881995774013","0.44682977577124816","0.27670610172509247","0.44253949443467894","0.15224765653322284","0.2056066307400442",NULL
"017922_2010","2010-12-31","017922",2111777,1237150,1632973,2111777,1040168,360157,711452,77534,172328,117020,NULL,NULL,NULL,NULL,"2.0496120543445273","1.1893751778558848","0.6631026855581815","0.48789720858653096","2.2226120153739006","1.5092733510459928","0.16448052714729877",NULL
"017914_2010","2010-12-31","017914",4048573,4308003,3181174,4048573,1003946,614319,2431149,724975,225338,39684,NULL,NULL,NULL,NULL,"4.627905194761055","4.29107043605931","0.39962942786289574","0.21608048521219353","0.3108217524742232","0.054738439256526085","0.016323145969251576",NULL
"017892_2010","2010-12-31","017892",2022777,226172,3586605,2022777,332321,564117,1213709,865533,416105,111229,NULL,NULL,NULL,NULL,"4.253252316389979","0.6805829303595018","0.424822536060284","0.235114196293148","0.48075001184241384","0.12850925383549788","0.09164387839259658",NULL
"017973_2010","2010-12-31","017973",1094786,227090,1726497,1094786,133768,175283,816176,599681,-58542,-29623,NULL,NULL,NULL,NULL,"6.321244713655675","1.6976406913462114","0.27465658040555374","0.15819669152180066","-0.09762190231139556","-0.049397929899396516","-0.036294867773617456",NULL
"018112_2010","2010-12-31","018112",42678300,18820287,59505147,42678300,10554856,8197671,24564842,25233310,19726777,7619243,NULL,NULL,NULL,NULL,"4.176793559609326","1.7830927300192443","0.43291011049170597","0.23941810523513984","0.7817752407432873","0.30195178516017124","0.31016861415188424",NULL
"018821_2010","2010-12-31","018821",12767531,1755167,20636542,12767531,3041673,7615289,3140390,4657256,2774566,677508,NULL,NULL,NULL,NULL,"2.1011343570522256","0.5770400039714986","0.7723918328676401","0.47593339123869466","0.5957512320559574","0.14547364370779703","0.21574008323806915",NULL
"022454_2010","2010-12-31","022454",521803,379493,523129,521803,219461,211550,133318,569179,158363,40263,NULL,NULL,NULL,NULL,"2.094197131859744","1.7292047334150487","0.7637583749904754","0.47750996541187785","0.27823057421303315","0.07073873069807565","0.3020072308315456",NULL
