"cd_cvm","nome_companhia"
"019070","DOMMO EMPREENDIMENTOS IMOBILIÁRIOS S.A"
"019097","CAIANDA PARTICIPACOES S.A."
"018970","AES TIETE ENERGIA SA"
"019453","ECORODOVIAS INFRAESTRUTURA E LOGÍSTICA S.A."
"019275","CIA PIRATININGA DE FORCA E LUZ"
"019429","COMPANHIA PROVINCIA DE SECURITIZACAO"
"018961","ANHANGUERA EDUCACIONAL PARTICIPAÇÕES S.A."
"019380","BRPR 53 SECURITIZADORA DE CRÉDITOS IMOBILIÁRIOS S.A."
"019356","REC SÃO BERNARDO SECURITIZADORA DE CRÉDITOS IMOBILIÁRIOS S.A"
"021237","ENEVA S.A"
"021555","UNIDAS S.A."
"019224","NOVA ACAO PARTICIPACOES S.A."
"019240","CIA DE RECUPERAÇÃO SECUNDÁRIA"
"019305","BIOMM S.A."
"019607","BAESA-ENERGETICA BARRA GRANDE SA"
"019372","BRPR 51 SECURITIZADORA DE CRÉDITOS IMOBILIÁRIOS S.A."
"020613","METALFRIO SOLUTIONS S.A."
"018309","EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A."
"000922","BCO AMAZONIA S.A."
"009717","PORTUENSE FERRAGENS S/A"
"001171","BCO ESTADO DO PARA S.A."
"023221","SER EDUCACIONAL S.A."
"019500","BGPAR SA"
"019402","GLOBAL BRASIL SA"
"022683","CACHOEIRA PAULISTA TRANSMISSORA ENERGIA S.A."
"021717","TARPON INVESTIMENTOS S.A."
"080004","TELEFÓNICA, S.A."
"080047","WILSON SONS LTD."
"020354","TERRA SANTA AGRO S.A."
"022357","ALIANSCE SONAE SHOPPING CENTERS S.A."
"019470","CSA-COMPANHIA SECURITIZADORA DE ATIVOS"
"019518","PIPA CIA SECURITIZADORA DE CRÉDITOS IMOBILIÁRIOS"
"019542","FIBRA CIA SECURITIZADORA CRED IMOB"
"019585","UNIVER CIDADE TRUST DE RECEBIVEIS SA"
"019526","TESLA COMPANHIA SECURITIZADORA DE CRÉDITOS"
"021300","ALIANSCE SHOPPING CENTERS S.A."
"019984","BRPR 56 SECURITIZADORA CRED IMOB S.A."
"019569","GOL LINHAS AEREAS INTELIGENTES S.A."
"016608","EQUATORIAL MARANHÃO DISTRIBUIDORA DE ENERGIA S.A."
"019810","BRPR 44 SECURITIZADORA DE CRÉDITOS IMOBILIÁRIOS S.A."
"022608","EMPREENDIMENTOS PAGUE MENOS S.A."
"019917","TEMPO PARTICIPAÇOES S/A"
"019909","BR MALLS PARTICIPACOES S.A."
"019925","BR PROPERTIES S.A."
"020320","CEMIG GERACAO E TRANSMISSAO S.A."
"020303","CEMIG DISTRIBUICAO S.A."
"019747","BETA SECURITIZADORA S.A."
"019976","BRPR 52 SECURITIZADORA DE CRÉDITOS IMOBILIÁRIOS S.A."
"018546","CAGECE - CIA DE AGUA E ESGOTO DO CEARA"
"014869","CIA ENERGETICA DO CEARA - COELCE"
"019895","BRPR 45 SECURITIZADORA DE CRÉDITOS IMOBILIÁRIOS S.A."
"019690","BTG PACTUAL SECURITIZADORA S.A"
"019704","B.I. COMPANHIA SECURITIZADORA S/A"
"019720","BRAZIL REALTY CIA SECURIT. CRÉD. IMOBILIÁRIOS"
"011606","UNITEXTIL - UNIAO INDUSTRIAL TEXTIL S/A"
"020338","M.DIAS BRANCO S.A. IND COM DE ALIMENTOS"
"001228","BCO NORDESTE DO BRASIL S.A."
"014168","CARBOMIL SA MINER. E INDUSTRIA"
"019933","ITAUSEG PARTICIPAÇÕES SA"
"009520","PETROLEO LUB DO NORDESTE SA"
"021423","FLORESTAL BRASIL SA"
"005878","FAE - FERRAGENS APARELHOS ELÉTRICOS S/A"
"005991","VICUNHA TEXTIL SA"
"016268","MARINA DE IRACEMA PARK SA"
"020079","UNI CIDADE SPTRUST DE RECEBÍVEIS SA"
"021113","BANCO INDUSTRIAL E COMERCIAL S/A"
"020222","PLANETA SECURITIZADORA S.A."
"020150","AFLUENTE G&T DE ENERGIA ELÉTRICA S/A"
"020052","DINAMICA ENERGIA S.A."
"020087","EMBRAER S.A."
"020265","BROOKFIELD INCORPORAÇÕES S.A."
"019941","BRPR 55 SECURITIZADORA CRED IMOB S.A."
"020966","SPRINGS GLOBAL PARTICIPACOES S.A."
"020214","AMPLA INVESTIMENTOS E SERVIÇOS S/A"
"020982","MULTIPLAN - EMPREEND IMOBILIARIOS S.A."
"020630","CR2 EMPREENDIMENTOS IMOBILIARIOS S.A."
"020230","ACRUX SECURITIZADORA S/A"
"080020","GP INVESTMENTS, LTD."
"020257","TRANSMISSORA ALIANÇA DE ENERGIA ELÉTRICA S.A."
"020419","ONE PROPERTIES S.A."
"020176","CENTENNIAL ASSET PART. MINAS-RIO S/A"
"020184","CCX CARVÃO DA COLÔMBIA S.A. - EM LIQUIDAÇÃO"
"020168","ÓLEO E GÁS PARTICIPAÇÕES S.A."
"020435","TECNISA S.A."
"020370","LPS BRASIL - CONSULTORIA DE IMOVEIS S.A."
"020400","SAFRA COMPANHIA SECURITIZADORA DE CREDITOS IMOBILIARIOS"
"020460","TFA SECURITIZADORA S/A"
"022330","RJ CAPITAL PARTNERS S.A."
"020605","JHSF PARTICIPACOES S.A."
"020770","EZ TEC EMPREEND. E PARTICIPACOES S.A."
"018139","CIA ENERGETICA DO RIO GDE NORTE - COSERN"
"020915","MRV ENGENHARIA E PARTICIPACOES S.A."
"021490","ALUPAR INVESTIMENTO S/A"
"004669","GUARARAPES CONFECCOES S.A."
"011215","TECBLU TECELAGEM BLUMENAU S.A."
"020540","CPFL ENERGIAS RENOVÁVEIS S.A."
"020648","CIA ESTADUAL DE DISTRIB ENER ELET-CEEE-D"
"021636","RENOVA ENERGIA S.A. - EM RECUPERAÇÃO JUDICIAL"
"021393","CIA CELG DE PARTICIPACOES - CELGPAR"
"021539","REP REAL ESTATE PARTNERS DESENV IMOB SA"
"021180","BRASIL BROKERS PARTICIPACOES S.A."
"020834","SETIBA PARTICIPAÇÕES S/A"
"020850","ALLIS PARTICIPAÇÕES S.A."
"020672","BRC SECURITIZADORA S.A."
